group_key,n_runs,mean_accuracy,std_accuracy,best_accuracy,best_run_id,best_metrics_path
NO_RAG|cot|llama3_med42_8b,1,0.597014925373,0.000000000000,0.597014925373,NO_RAG|cot|llama3_med42_8b|v2,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/metrics.json
NO_RAG|zero_shot|gemma3,1,0.559308719560,0.000000000000,0.559308719560,NO_RAG|zero_shot|gemma3|base,evaluation_results/final_output/NO_RAG/zero_shot/gemma3/metrics.json
NO_RAG|zero_shot|llama3_med42_8b,1,0.555380989788,0.000000000000,0.555380989788,NO_RAG|zero_shot|llama3_med42_8b|v2,evaluation_results/final_output/NO_RAG/zero_shot/llama3_med42_8b/v2/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot,1,0.563236449332,0.000000000000,0.563236449332,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,1,0.590730557738,0.000000000000,0.590730557738,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot,1,0.564021995287,0.000000000000,0.564021995287,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot,1,0.600157109191,0.000000000000,0.600157109191,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot,1,0.588373919874,0.000000000000,0.588373919874,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,1,0.589159465829,0.000000000000,0.589159465829,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot,1,0.586017282011,0.000000000000,0.586017282011,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|cot,1,0.603299293009,0.000000000000,0.603299293009,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|cot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/cot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.601728201100,0.000000000000,0.601728201100,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot,1,0.563236449332,0.000000000000,0.563236449332,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|cot,1,0.571091908877,0.000000000000,0.571091908877,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|cot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/cot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,1,0.590730557738,0.000000000000,0.590730557738,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot,1,0.564807541241,0.000000000000,0.564807541241,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot,1,0.595443833464,0.000000000000,0.595443833464,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot,1,0.588373919874,0.000000000000,0.588373919874,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot|v2,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,1,0.589159465829,0.000000000000,0.589159465829,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot,1,0.586802827965,0.000000000000,0.586802827965,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot|v2,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/v2/metrics.json
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.599371563236,0.000000000000,0.599371563236,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.593087195601,0.000000000000,0.593087195601,RAG|bge_large_en_v1.5|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,1,0.553024351925,0.000000000000,0.553024351925,RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.591516103692,0.000000000000,0.591516103692,RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot,1,0.537313432836,0.000000000000,0.537313432836,RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json
RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,1,0.578947368421,0.000000000000,0.578947368421,RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot,1,0.553024351925,0.000000000000,0.553024351925,RAG|medembed|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG|medembed|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot,1,0.593872741555,0.000000000000,0.593872741555,RAG|medembed|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot,1,0.567164179104,0.000000000000,0.567164179104,RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot|v2,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,1,0.585231736057,0.000000000000,0.585231736057,RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|v3,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/v3/metrics.json
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot,1,0.571877454831,0.000000000000,0.571877454831,RAG|medembed|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot|v3,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/v3/metrics.json
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.604870384918,0.000000000000,0.604870384918,RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|v2,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/v2/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot,1,0.537313432836,0.000000000000,0.537313432836,RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot|v2,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,1,0.580518460330,0.000000000000,0.580518460330,RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot,1,0.553809897879,0.000000000000,0.553809897879,RAG|medembed|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot,1,0.598586017282,0.000000000000,0.598586017282,RAG|medembed|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot,1,0.567164179104,0.000000000000,0.567164179104,RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot|v2,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,1,0.584446190102,0.000000000000,0.584446190102,RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot,1,0.568735271013,0.000000000000,0.568735271013,RAG|medembed|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/metrics.json
RAG|medembed|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.603299293009,0.000000000000,0.603299293009,RAG|medembed|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
RAG|medembed|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,1,0.585231736057,0.000000000000,0.585231736057,RAG|medembed|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,evaluation_results/final_output/RAG/medembed/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json
