run_id,family,index_name,embedding_model,retrieval_mode,coarse_mode,reranker,reformulation,prompt_mode,llm_model,total,correct,accuracy,metrics_path,predictions_path,is_complete,version,group_key,elapsed_seconds,examples_per_second,seconds_per_example
NO_RAG|cot|llama3_med42_8b|v2,NO_RAG,none,none,none,none,none,none,cot,llama3_med42_8b,1273,760,0.597014925373,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/metrics.json,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/predictions.jsonl,True,v2,NO_RAG|cot|llama3_med42_8b,3154.3316349983215,0.4035720232697338,2.477872454829789
NO_RAG|zero_shot|gemma3|base,NO_RAG,none,none,none,none,none,none,zero_shot,gemma3,1273,712,0.559308719560,evaluation_results/final_output/NO_RAG/zero_shot/gemma3/metrics.json,evaluation_results/final_output/NO_RAG/zero_shot/gemma3/predictions.jsonl,True,base,NO_RAG|zero_shot|gemma3,147.97133469581604,8.603017622412477,0.11623828334313907
NO_RAG|zero_shot|llama3_med42_8b|v2,NO_RAG,none,none,none,none,none,none,zero_shot,llama3_med42_8b,1273,707,0.555380989788,evaluation_results/final_output/NO_RAG/zero_shot/llama3_med42_8b/v2/metrics.json,evaluation_results/final_output/NO_RAG/zero_shot/llama3_med42_8b/v2/predictions.jsonl,True,v2,NO_RAG|zero_shot|llama3_med42_8b,94.86154246330261,13.41955830512099,0.07451810091382766
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,gemma3,1273,717,0.563236449332,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot,575.4137980937958,2.2123209492319016,0.452013981220578
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,752,0.590730557738,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,387.49360632896423,3.285215495708803,0.30439403482243854
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,gemma3,1273,718,0.564021995287,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot,1057.7563202381134,1.2034907999542208,0.8309161981446296
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,764,0.600157109191,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot,761.4987754821777,1.6717032790944961,0.5981922823897704
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,gemma3,1273,749,0.588373919874,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot,666.2352743148804,1.9107364156139632,0.5233584244421684
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,750,0.589159465829,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,467.0424499511719,2.7256623035723817,0.36688330711011147
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,zero_shot,gemma3,1273,746,0.586017282011,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot,1149.2047731876373,1.1077225136030215,0.9027531603987724
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|cot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,cot,llama3_med42_8b,1273,768,0.603299293009,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/cot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/cot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|cot,4391.90949344635,0.2898511460446949,3.450046734836096
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,766,0.601728201100,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,844.5230457782745,1.5073596941654333,0.663411662041064
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,no_reformulation,zero_shot,gemma3,1273,717,0.563236449332,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot,574.5413098335266,2.2156805406539903,0.4513286015974286
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|cot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,no_reformulation,cot,llama3_med42_8b,1273,727,0.571091908877,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/cot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/cot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|cot,4027.1011140346527,0.31610827837511457,3.163472988244032
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,752,0.590730557738,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,377.8770580291748,3.368820554069507,0.2968397942098781
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,reformulation,zero_shot,gemma3,1273,719,0.564807541241,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot,1125.147910118103,1.1314068030987832,0.8838553889380228
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,758,0.595443833464,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot,748.88498878479,1.6998604846729368,0.5882835732794894
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot|v2,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,no_reformulation,zero_shot,gemma3,1273,749,0.588373919874,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/predictions.jsonl,True,v2,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot,678.4918179512024,1.87622011985936,0.5329865027110781
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,750,0.589159465829,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,466.9282124042511,2.7263291576347894,0.3667935682672829
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot|v2,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,reformulation,zero_shot,gemma3,1273,747,0.586802827965,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/v2/predictions.jsonl,True,v2,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot,1197.4728498458862,1.063072119057926,0.9406699527461793
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,763,0.599371563236,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot,834.921909570694,1.5246934897834459,0.6558695283351877
RAG|bge_large_en_v1.5|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,hybrid,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,755,0.593087195601,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,3079.1611366271973,0.4134242878222341,2.418822573941239
RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,hybrid,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,704,0.553024351925,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,2514.0128870010376,0.5063617639281713,1.9748726527895033
RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,hybrid,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,753,0.591516103692,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot,3074.026525259018,0.41411483913358127,2.4147891007533526
RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,gemma3,1273,684,0.537313432836,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot,609.4527921676636,2.088758992262999,0.4787531753084553
RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,737,0.578947368421,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,383.44220781326294,3.3199266383839343,0.3012114751086119
RAG|medembed|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,reformulation,zero_shot,gemma3,1273,704,0.553024351925,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot,1092.5241944789886,1.1651915869992042,0.8582279610989699
RAG|medembed|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,756,0.593872741555,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot,758.7193171977997,1.6778273218370243,0.5960088901789471
RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,gemma3,1273,722,0.567164179104,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/v2/predictions.jsonl,True,v2,RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot,693.4915013313293,1.835638933651184,0.5447694433081928
RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|v3,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,745,0.585231736057,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/v3/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/v3/predictions.jsonl,True,v3,RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,475.3432183265686,2.6780649242910375,0.37340394212613404
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot|v3,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,reformulation,zero_shot,gemma3,1273,728,0.571877454831,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/v3/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/v3/predictions.jsonl,True,v3,RAG|medembed|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot,1188.2205619812012,1.0713499166160196,0.933401855444777
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,770,0.604870384918,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/v2/predictions.jsonl,True,v2,RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,843.6663749217987,1.5088902886736444,0.6627387077154743
RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,no_reformulation,zero_shot,gemma3,1273,684,0.537313432836,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/v2/predictions.jsonl,True,v2,RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot,613.7545747756958,2.0741189594639415,0.4821324232330682
RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,739,0.580518460330,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot,390.17148089408875,3.262667986606518,0.30649762835356537
RAG|medembed|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,reformulation,zero_shot,gemma3,1273,705,0.553809897879,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot,1070.2178218364716,1.189477482084496,0.8407052803114466
RAG|medembed|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,762,0.598586017282,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot,752.9708857536316,1.690636416474301,0.5914932331136148
RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,no_reformulation,zero_shot,gemma3,1273,722,0.567164179104,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/predictions.jsonl,True,v2,RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot,690.8191163539886,1.8427399732634078,0.542670162100541
RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,744,0.584446190102,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot,476.245493888855,2.6729911701738636,0.37411272104387666
RAG|medembed|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,reformulation,zero_shot,gemma3,1273,724,0.568735271013,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot,1475.1484723091125,0.8629639821999199,1.158796914618313
RAG|medembed|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,768,0.603299293009,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|medembed|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot,847.0913059711456,1.5027895942581684,0.6654291484455189
RAG|medembed|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,hybrid,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,745,0.585231736057,evaluation_results/final_output/RAG/medembed/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True,base,RAG|medembed|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot,6552.565872907639,0.19427504044840962,5.147341612653291
