run_id,family,index_name,embedding_model,retrieval_mode,coarse_mode,reranker,reformulation,prompt_mode,llm_model,total,correct,accuracy,metrics_path,predictions_path,is_complete
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,770,0.604870384918,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/v2/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|cot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,cot,llama3_med42_8b,1273,768,0.603299293009,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/cot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/cot/predictions.jsonl,True
RAG|medembed|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,768,0.603299293009,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,766,0.601728201100,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,764,0.600157109191,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,763,0.599371563236,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,762,0.598586017282,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
NO_RAG|cot|llama3_med42_8b|v2,NO_RAG,none,none,none,none,none,none,cot,llama3_med42_8b,1273,760,0.597014925373,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/metrics.json,evaluation_results/final_output/NO_RAG/cot/llama3_med42_8b/v2/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,758,0.595443833464,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_k20|reranker_off|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,reformulation,zero_shot,llama3_med42_8b,1273,756,0.593872741555,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,hybrid,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,755,0.593087195601,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,hybrid,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,753,0.591516103692,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,752,0.590730557738,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,752,0.590730557738,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,750,0.589159465829,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,750,0.589159465829,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,gemma3,1273,749,0.588373919874,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot|v2,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,no_reformulation,zero_shot,gemma3,1273,749,0.588373919874,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot|v2,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_on,reformulation,zero_shot,gemma3,1273,747,0.586802827965,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/v2/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_on,reformulation,zero_shot,gemma3,1273,746,0.586017282011,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|v3,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,745,0.585231736057,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/v3/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/v3/predictions.jsonl,True
RAG|medembed|hybrid|coarse_k20|reranker_on|reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,hybrid,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,1273,745,0.585231736057,evaluation_results/final_output/RAG/medembed/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/hybrid/coarse_k20/reranker_on/reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,1273,744,0.584446190102,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,739,0.580518460330,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,737,0.578947368421,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_k20|reranker_on|reformulation|gemma3|zero_shot|v3,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,reformulation,zero_shot,gemma3,1273,728,0.571877454831,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/v3/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/reformulation/gemma3/zero_shot/v3/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|cot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,no_reformulation,cot,llama3_med42_8b,1273,727,0.571091908877,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/cot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/cot/predictions.jsonl,True
RAG|medembed|dense|coarse_off|reranker_on|reformulation|gemma3|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,reformulation,zero_shot,gemma3,1273,724,0.568735271013,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_k20|reranker_on|no_reformulation|gemma3|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_on,no_reformulation,zero_shot,gemma3,1273,722,0.567164179104,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_on/no_reformulation/gemma3/zero_shot/v2/predictions.jsonl,True
RAG|medembed|dense|coarse_off|reranker_on|no_reformulation|gemma3|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_on,no_reformulation,zero_shot,gemma3,1273,722,0.567164179104,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_on/no_reformulation/gemma3/zero_shot/v2/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,reformulation,zero_shot,gemma3,1273,719,0.564807541241,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,reformulation,zero_shot,gemma3,1273,718,0.564021995287,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,gemma3,1273,717,0.563236449332,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,dense,coarse_off,reranker_off,no_reformulation,zero_shot,gemma3,1273,717,0.563236449332,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/predictions.jsonl,True
NO_RAG|zero_shot|gemma3|base,NO_RAG,none,none,none,none,none,none,zero_shot,gemma3,1273,712,0.559308719560,evaluation_results/final_output/NO_RAG/zero_shot/gemma3/metrics.json,evaluation_results/final_output/NO_RAG/zero_shot/gemma3/predictions.jsonl,True
NO_RAG|zero_shot|llama3_med42_8b|v2,NO_RAG,none,none,none,none,none,none,zero_shot,llama3_med42_8b,1273,707,0.555380989788,evaluation_results/final_output/NO_RAG/zero_shot/llama3_med42_8b/v2/metrics.json,evaluation_results/final_output/NO_RAG/zero_shot/llama3_med42_8b/v2/predictions.jsonl,True
RAG|medembed|dense|coarse_off|reranker_off|reformulation|gemma3|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,reformulation,zero_shot,gemma3,1273,705,0.553809897879,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|bge_large_en_v1.5|hybrid|coarse_off|reranker_off|no_reformulation|llama3_med42_8b|zero_shot|base,RAG,bge_large_en_v1.5,BAAI/bge-large-en-v1.5,hybrid,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,1273,704,0.553024351925,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/metrics.json,evaluation_results/final_output/RAG/bge_large_en_v1.5/hybrid/coarse_off/reranker_off/no_reformulation/llama3_med42_8b/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_k20|reranker_off|reformulation|gemma3|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,reformulation,zero_shot,gemma3,1273,704,0.553024351925,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_k20|reranker_off|no_reformulation|gemma3|zero_shot|base,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_k20,reranker_off,no_reformulation,zero_shot,gemma3,1273,684,0.537313432836,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_k20/reranker_off/no_reformulation/gemma3/zero_shot/predictions.jsonl,True
RAG|medembed|dense|coarse_off|reranker_off|no_reformulation|gemma3|zero_shot|v2,RAG,medembed,abhinand/MedEmbed-large-v0.1,dense,coarse_off,reranker_off,no_reformulation,zero_shot,gemma3,1273,684,0.537313432836,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/v2/metrics.json,evaluation_results/final_output/RAG/medembed/dense/coarse_off/reranker_off/no_reformulation/gemma3/zero_shot/v2/predictions.jsonl,True
