pair_id,factor,level_a,level_b,family,index_name,retrieval_mode,coarse_mode,reranker,reformulation,prompt_mode,llm_model,delta,comparison_key
1,reranker,reranker_off,reranker_on,RAG,bge_large_en_v1.5,dense,coarse_k20,,no_reformulation,zero_shot,gemma3,0.025137470542,RAG|bge_large_en_v1.5|dense|coarse_k20|no_reformulation|zero_shot|gemma3
2,reranker,reranker_off,reranker_on,RAG,bge_large_en_v1.5,dense,coarse_k20,,no_reformulation,zero_shot,llama3_med42_8b,-0.001571091909,RAG|bge_large_en_v1.5|dense|coarse_k20|no_reformulation|zero_shot|llama3_med42_8b
3,reranker,reranker_off,reranker_on,RAG,bge_large_en_v1.5,dense,coarse_k20,,reformulation,zero_shot,gemma3,0.021995286724,RAG|bge_large_en_v1.5|dense|coarse_k20|reformulation|zero_shot|gemma3
4,reranker,reranker_off,reranker_on,RAG,bge_large_en_v1.5,dense,coarse_k20,,reformulation,zero_shot,llama3_med42_8b,0.001571091909,RAG|bge_large_en_v1.5|dense|coarse_k20|reformulation|zero_shot|llama3_med42_8b
5,reranker,reranker_off,reranker_on,RAG,bge_large_en_v1.5,dense,coarse_off,,no_reformulation,zero_shot,gemma3,0.025137470542,RAG|bge_large_en_v1.5|dense|coarse_off|no_reformulation|zero_shot|gemma3
6,reranker,reranker_off,reranker_on,RAG,bge_large_en_v1.5,dense,coarse_off,,no_reformulation,zero_shot,llama3_med42_8b,-0.001571091909,RAG|bge_large_en_v1.5|dense|coarse_off|no_reformulation|zero_shot|llama3_med42_8b
7,reranker,reranker_off,reranker_on,RAG,bge_large_en_v1.5,dense,coarse_off,,reformulation,zero_shot,gemma3,0.021995286724,RAG|bge_large_en_v1.5|dense|coarse_off|reformulation|zero_shot|gemma3
8,reranker,reranker_off,reranker_on,RAG,bge_large_en_v1.5,dense,coarse_off,,reformulation,zero_shot,llama3_med42_8b,0.003927729772,RAG|bge_large_en_v1.5|dense|coarse_off|reformulation|zero_shot|llama3_med42_8b
9,reranker,reranker_off,reranker_on,RAG,medembed,dense,coarse_k20,,no_reformulation,zero_shot,gemma3,0.029850746269,RAG|medembed|dense|coarse_k20|no_reformulation|zero_shot|gemma3
10,reranker,reranker_off,reranker_on,RAG,medembed,dense,coarse_k20,,no_reformulation,zero_shot,llama3_med42_8b,0.006284367636,RAG|medembed|dense|coarse_k20|no_reformulation|zero_shot|llama3_med42_8b
11,reranker,reranker_off,reranker_on,RAG,medembed,dense,coarse_k20,,reformulation,zero_shot,gemma3,0.018853102907,RAG|medembed|dense|coarse_k20|reformulation|zero_shot|gemma3
12,reranker,reranker_off,reranker_on,RAG,medembed,dense,coarse_k20,,reformulation,zero_shot,llama3_med42_8b,0.010997643362,RAG|medembed|dense|coarse_k20|reformulation|zero_shot|llama3_med42_8b
13,reranker,reranker_off,reranker_on,RAG,medembed,dense,coarse_off,,no_reformulation,zero_shot,gemma3,0.029850746269,RAG|medembed|dense|coarse_off|no_reformulation|zero_shot|gemma3
14,reranker,reranker_off,reranker_on,RAG,medembed,dense,coarse_off,,no_reformulation,zero_shot,llama3_med42_8b,0.003927729772,RAG|medembed|dense|coarse_off|no_reformulation|zero_shot|llama3_med42_8b
15,reranker,reranker_off,reranker_on,RAG,medembed,dense,coarse_off,,reformulation,zero_shot,gemma3,0.014925373134,RAG|medembed|dense|coarse_off|reformulation|zero_shot|gemma3
16,reranker,reranker_off,reranker_on,RAG,medembed,dense,coarse_off,,reformulation,zero_shot,llama3_med42_8b,0.004713275727,RAG|medembed|dense|coarse_off|reformulation|zero_shot|llama3_med42_8b
17,reformulation,no_reformulation,reformulation,RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_off,,zero_shot,gemma3,0.000785545954,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|zero_shot|gemma3
18,reformulation,no_reformulation,reformulation,RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_off,,zero_shot,llama3_med42_8b,0.009426551453,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_off|zero_shot|llama3_med42_8b
19,reformulation,no_reformulation,reformulation,RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_on,,zero_shot,gemma3,-0.002356637863,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|zero_shot|gemma3
20,reformulation,no_reformulation,reformulation,RAG,bge_large_en_v1.5,dense,coarse_k20,reranker_on,,zero_shot,llama3_med42_8b,0.012568735271,RAG|bge_large_en_v1.5|dense|coarse_k20|reranker_on|zero_shot|llama3_med42_8b
21,reformulation,no_reformulation,reformulation,RAG,bge_large_en_v1.5,dense,coarse_off,reranker_off,,zero_shot,gemma3,0.001571091909,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|zero_shot|gemma3
22,reformulation,no_reformulation,reformulation,RAG,bge_large_en_v1.5,dense,coarse_off,reranker_off,,zero_shot,llama3_med42_8b,0.004713275727,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_off|zero_shot|llama3_med42_8b
23,reformulation,no_reformulation,reformulation,RAG,bge_large_en_v1.5,dense,coarse_off,reranker_on,,zero_shot,gemma3,-0.001571091909,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|zero_shot|gemma3
24,reformulation,no_reformulation,reformulation,RAG,bge_large_en_v1.5,dense,coarse_off,reranker_on,,zero_shot,llama3_med42_8b,0.010212097408,RAG|bge_large_en_v1.5|dense|coarse_off|reranker_on|zero_shot|llama3_med42_8b
25,reformulation,no_reformulation,reformulation,RAG,medembed,dense,coarse_k20,reranker_off,,zero_shot,gemma3,0.015710919089,RAG|medembed|dense|coarse_k20|reranker_off|zero_shot|gemma3
26,reformulation,no_reformulation,reformulation,RAG,medembed,dense,coarse_k20,reranker_off,,zero_shot,llama3_med42_8b,0.014925373134,RAG|medembed|dense|coarse_k20|reranker_off|zero_shot|llama3_med42_8b
27,reformulation,no_reformulation,reformulation,RAG,medembed,dense,coarse_k20,reranker_on,,zero_shot,gemma3,0.004713275727,RAG|medembed|dense|coarse_k20|reranker_on|zero_shot|gemma3
28,reformulation,no_reformulation,reformulation,RAG,medembed,dense,coarse_k20,reranker_on,,zero_shot,llama3_med42_8b,0.019638648861,RAG|medembed|dense|coarse_k20|reranker_on|zero_shot|llama3_med42_8b
29,reformulation,no_reformulation,reformulation,RAG,medembed,dense,coarse_off,reranker_off,,zero_shot,gemma3,0.016496465043,RAG|medembed|dense|coarse_off|reranker_off|zero_shot|gemma3
30,reformulation,no_reformulation,reformulation,RAG,medembed,dense,coarse_off,reranker_off,,zero_shot,llama3_med42_8b,0.018067556952,RAG|medembed|dense|coarse_off|reranker_off|zero_shot|llama3_med42_8b
31,reformulation,no_reformulation,reformulation,RAG,medembed,dense,coarse_off,reranker_on,,zero_shot,gemma3,0.001571091909,RAG|medembed|dense|coarse_off|reranker_on|zero_shot|gemma3
32,reformulation,no_reformulation,reformulation,RAG,medembed,dense,coarse_off,reranker_on,,zero_shot,llama3_med42_8b,0.018853102907,RAG|medembed|dense|coarse_off|reranker_on|zero_shot|llama3_med42_8b
33,retrieval_mode,dense,hybrid,RAG,bge_large_en_v1.5,,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,-0.008641005499,RAG|bge_large_en_v1.5|coarse_k20|reranker_on|reformulation|zero_shot|llama3_med42_8b
34,retrieval_mode,dense,hybrid,RAG,bge_large_en_v1.5,,coarse_off,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,-0.037706205813,RAG|bge_large_en_v1.5|coarse_off|reranker_off|no_reformulation|zero_shot|llama3_med42_8b
35,retrieval_mode,dense,hybrid,RAG,bge_large_en_v1.5,,coarse_off,reranker_on,reformulation,zero_shot,llama3_med42_8b,-0.007855459544,RAG|bge_large_en_v1.5|coarse_off|reranker_on|reformulation|zero_shot|llama3_med42_8b
36,retrieval_mode,dense,hybrid,RAG,medembed,,coarse_k20,reranker_on,reformulation,zero_shot,llama3_med42_8b,-0.019638648861,RAG|medembed|coarse_k20|reranker_on|reformulation|zero_shot|llama3_med42_8b
37,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,dense,,reranker_off,no_reformulation,zero_shot,gemma3,0.000000000000,RAG|bge_large_en_v1.5|dense|reranker_off|no_reformulation|zero_shot|gemma3
38,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,dense,,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,0.000000000000,RAG|bge_large_en_v1.5|dense|reranker_off|no_reformulation|zero_shot|llama3_med42_8b
39,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,dense,,reranker_off,reformulation,zero_shot,gemma3,-0.000785545954,RAG|bge_large_en_v1.5|dense|reranker_off|reformulation|zero_shot|gemma3
40,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,dense,,reranker_off,reformulation,zero_shot,llama3_med42_8b,0.004713275727,RAG|bge_large_en_v1.5|dense|reranker_off|reformulation|zero_shot|llama3_med42_8b
41,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,dense,,reranker_on,no_reformulation,zero_shot,gemma3,0.000000000000,RAG|bge_large_en_v1.5|dense|reranker_on|no_reformulation|zero_shot|gemma3
42,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,dense,,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,0.000000000000,RAG|bge_large_en_v1.5|dense|reranker_on|no_reformulation|zero_shot|llama3_med42_8b
43,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,dense,,reranker_on,reformulation,zero_shot,gemma3,-0.000785545954,RAG|bge_large_en_v1.5|dense|reranker_on|reformulation|zero_shot|gemma3
44,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,dense,,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.002356637863,RAG|bge_large_en_v1.5|dense|reranker_on|reformulation|zero_shot|llama3_med42_8b
45,coarse_mode,coarse_off,coarse_k20,RAG,bge_large_en_v1.5,hybrid,,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.001571091909,RAG|bge_large_en_v1.5|hybrid|reranker_on|reformulation|zero_shot|llama3_med42_8b
46,coarse_mode,coarse_off,coarse_k20,RAG,medembed,dense,,reranker_off,no_reformulation,zero_shot,gemma3,0.000000000000,RAG|medembed|dense|reranker_off|no_reformulation|zero_shot|gemma3
47,coarse_mode,coarse_off,coarse_k20,RAG,medembed,dense,,reranker_off,no_reformulation,zero_shot,llama3_med42_8b,-0.001571091909,RAG|medembed|dense|reranker_off|no_reformulation|zero_shot|llama3_med42_8b
48,coarse_mode,coarse_off,coarse_k20,RAG,medembed,dense,,reranker_off,reformulation,zero_shot,gemma3,-0.000785545954,RAG|medembed|dense|reranker_off|reformulation|zero_shot|gemma3
49,coarse_mode,coarse_off,coarse_k20,RAG,medembed,dense,,reranker_off,reformulation,zero_shot,llama3_med42_8b,-0.004713275727,RAG|medembed|dense|reranker_off|reformulation|zero_shot|llama3_med42_8b
50,coarse_mode,coarse_off,coarse_k20,RAG,medembed,dense,,reranker_on,no_reformulation,zero_shot,gemma3,0.000000000000,RAG|medembed|dense|reranker_on|no_reformulation|zero_shot|gemma3
51,coarse_mode,coarse_off,coarse_k20,RAG,medembed,dense,,reranker_on,no_reformulation,zero_shot,llama3_med42_8b,0.000785545954,RAG|medembed|dense|reranker_on|no_reformulation|zero_shot|llama3_med42_8b
52,coarse_mode,coarse_off,coarse_k20,RAG,medembed,dense,,reranker_on,reformulation,zero_shot,gemma3,0.003142183818,RAG|medembed|dense|reranker_on|reformulation|zero_shot|gemma3
53,coarse_mode,coarse_off,coarse_k20,RAG,medembed,dense,,reranker_on,reformulation,zero_shot,llama3_med42_8b,0.001571091909,RAG|medembed|dense|reranker_on|reformulation|zero_shot|llama3_med42_8b
